cat,freq,n-grams
novidades,686,ser
policia,455,ser
policia,397,ir
esportes,394,ser
problema,367,ser
novidades,313,ano
policia,290,ano
novidades,287,ir
novidades,287,ter
novidades,282,nao
trabalhador,277,ser
policia,259,ter
novidades,239,estar
esportes,235,nao
policia,217,nao
problema,207,nao
policia,191,estar
novidades,181,mais
esportes,179,ter
problema,175,ano
problema,169,ir
problema,164,estar
esportes,159,ir
problema,158,ter
esportes,143,br
esportes,142,time
esportes,140,diariogaucho
esportes,140,diariogaucho br
novidades,139,como
novidades,138,fazer
esportes,134,jogar
esportes,130,jogo
policia,129,bairro
policia,122,mais
novidades,119,dia
policia,118,casa
esportes,118,estar
trabalhador,115,vaga
policia,115,policia
problema,114,br
problema,114,diariogaucho
problema,114,diariogaucho br
novidades,112,br
policia,111,como
policia,110,br
problema,109,fazer
policia,108,diariogaucho
policia,108,diariogaucho br
esportes,107,mais
policia,105,torre
novidades,94,diariogaucho
novidades,94,diariogaucho br
esportes,93,muito
trabalhador,91,estar
policia,91,homicidio
esportes,91,fazer
policia,90,vila
novidades,90,poder
problema,89,ja
problema,89,morador
trabalhador,87,br
esportes,87,colorar
esportes,87,como
problema,86,mais
novidades,86,ja
trabalhador,85,mais
policia,84,delegado
esportes,84,poder
policia,83,trafico
trabalhador,82,ter
policia,81,ja
esportes,81,tecnico
policia,79,homem
novidades,79,muito
problema,77,bairro
novidades,77,casa
policia,76,fazer
novidades,76,mes
novidades,76,porto
novidades,76,quando
policia,75,feira
trabalhador,74,curso
problema,74,casa
trabalhador,73,ir
novidades,73,passar
trabalhador,72,trabalho
problema,72,local
problema,72,prefeitura
policia,71,crime
problema,70,problema
policia,68,dia
policia,67,encontrar
policia,67,regiao
novidades,67,bairro
novidades,67,ficar
novidades,66,familia
novidades,66,mesmo
esportes,66,braga
esportes,66,braga diariogaucho
esportes,66,braga diariogaucho br
policia,65,caso
novidades,65,ainda
problema,64,categoria
policia,64,dizer
policia,64,haver
novidades,64,filho
problema,63,passar
policia,63,sul
policia,62,brigar
novidades,62,pessoa
trabalhador,61,ano
problema,61,dia
novidades,61,medico
problema,60,lixo
policia,60,levar
policia,60,policial
novidades,60,atender
novidades,60,tambem
esportes,60,Cacalo
esportes,60,Cacalo cacalo
esportes,60,Cacalo cacalo diariogaucho
esportes,60,cacalo
esportes,60,cacalo diariogaucho
esportes,60,cacalo diariogaucho br
novidades,59,escola
policia,58,ano ir
novidades,58,so
esportes,58,gol
problema,57,postar
novidades,57,dever
trabalhador,56,dever
trabalhador,56,nao
policia,56,local
esportes,56,ja
esportes,56,vitoria
trabalhador,55,postar
policia,55,porto
novidades,55,dar
esportes,55,partida
trabalhador,54,categoria
problema,54,postar categoria
policia,54,carro
policia,54,poder
esportes,54,ano
trabalhador,53,fazer
problema,53,rua
problema,53,so
policia,53,depois
novidades,53,crianca
trabalhador,52,tecnico
problema,52,agua
problema,52,quando
policia,52,eduardo
policia,52,eduardo torre
policia,52,eduardo torre diariogaucho
policia,52,menos
policia,52,preso
policia,52,quando
policia,52,torre diariogaucho
policia,52,torre diariogaucho br
esportes,52,futebol
problema,51,como
problema,51,ficar
policia,51,mesmo
policia,51,morto
policia,51,passar
policia,51,torre eduardo
policia,51,torre eduardo torre
policia,51,volta
novidades,51,mil
novidades,51,obra
esportes,51,clube
esportes,51,so
trabalhador,49,poder
problema,49,via
policia,49,ainda
policia,49,chegar
policia,49,ficar
novidades,49,dizer
novidades,49,pai
policia,48,droga
esportes,48,tempo
trabalhador,47,dia
esportes,47,torcer
trabalhador,46,empresa
problema,46,colocar
novidades,46,agua
novidades,46,haver
novidades,46,semana
esportes,46,mesmo
esportes,46,quando
problema,45,aqui
policia,45,acordo
novidades,45,final
novidades,45,precisar
esportes,45,ainda
trabalhador,44,como
policia,44,adolescente
